school,first_name,last_name,class,course_name,department,comment,quality,difficulty,date,tags
Massachusetts Institute of Technology,Alice,Chen,CS101,Intro to Computer Science,CS,Great lectures and helpful projects.,3,2,3/15/2023,Projects|Workload|Exams
Massachusetts Institute of Technology,Alice,Chen,CS101,Intro to Computer Science,CS,Great lectures and helpful projects. Professor Chen is very engaging.,4,2,11/2/2022,Lectures|Grading|Assignments
Massachusetts Institute of Technology,Alice,Chen,CS101,Intro to Computer Science,CS,Difficult course overall. Great lectures and helpful projects.,5,2,5/10/2024,Workload|Exams|Projects
Massachusetts Institute of Technology,Bob,Rivera,CS201,Data Structures,CS,Challenging assignments but fair exams.,4,3,11/2/2022,Lectures|Grading|Assignments
Massachusetts Institute of Technology,Bob,Rivera,CS201,Data Structures,CS,Challenging assignments but fair exams. Professor Rivera is very engaging.,5,3,5/10/2024,Workload|Exams|Projects
Massachusetts Institute of Technology,Bob,Rivera,CS201,Data Structures,CS,Difficult course overall. Challenging assignments but fair exams.,3,3,9/1/2021,Projects|Lectures
Massachusetts Institute of Technology,Carol,Wu,CS501,Advanced Machine Learning,CS,Amazing projects but heavy workload near midterms.,5,4,5/10/2024,Workload|Exams|Projects
Massachusetts Institute of Technology,Carol,Wu,CS501,Advanced Machine Learning,CS,Amazing projects but heavy workload near midterms. Professor Wu is very engaging.,3,4,9/1/2021,Projects|Lectures
Massachusetts Institute of Technology,Carol,Wu,CS501,Advanced Machine Learning,CS,Difficult course overall. Amazing projects but heavy workload near midterms.,4,4,1/20/2023,Grading|Exams|Workload
Massachusetts Institute of Technology,David,Smith,EE210,Circuits I,EE,Clear explanations and practical labs.,3,5,9/1/2021,Projects|Lectures
Massachusetts Institute of Technology,David,Smith,EE210,Circuits I,EE,Clear explanations and practical labs. Professor Smith is very engaging.,4,5,1/20/2023,Grading|Exams|Workload
Massachusetts Institute of Technology,David,Smith,EE210,Circuits I,EE,Difficult course overall. Clear explanations and practical labs.,5,5,3/15/2023,Projects|Workload|Exams
Massachusetts Institute of Technology,Elena,Park,MATH301,Linear Algebra,MATH,Fast paced lectures with tough homework.,4,2,1/20/2023,Grading|Exams|Workload
Massachusetts Institute of Technology,Elena,Park,MATH301,Linear Algebra,MATH,Fast paced lectures with tough homework. Professor Park is very engaging.,5,2,3/15/2023,Projects|Workload|Exams
Massachusetts Institute of Technology,Elena,Park,MATH301,Linear Algebra,MATH,Difficult course overall. Fast paced lectures with tough homework.,3,2,11/2/2022,Lectures|Grading|Assignments
Massachusetts Institute of Technology,Frank,Nguyen,DS501,Applied Data Science,DS,Engaging real-world datasets and projects.,5,3,3/15/2023,Projects|Workload|Exams
Massachusetts Institute of Technology,Frank,Nguyen,DS501,Applied Data Science,DS,Engaging real-world datasets and projects. Professor Nguyen is very engaging.,3,3,11/2/2022,Lectures|Grading|Assignments
Massachusetts Institute of Technology,Frank,Nguyen,DS501,Applied Data Science,DS,Difficult course overall. Engaging real-world datasets and projects.,4,3,5/10/2024,Workload|Exams|Projects
Stanford University,Bob,Rivera,CS101,Intro to Computer Science,CS,Great lectures and helpful projects.,4,3,11/2/2022,Lectures|Grading|Assignments
Stanford University,Bob,Rivera,CS101,Intro to Computer Science,CS,Great lectures and helpful projects. Professor Rivera is very engaging.,5,3,5/10/2024,Workload|Exams|Projects
Stanford University,Bob,Rivera,CS101,Intro to Computer Science,CS,Difficult course overall. Great lectures and helpful projects.,3,3,9/1/2021,Projects|Lectures
Stanford University,Carol,Wu,CS201,Data Structures,CS,Challenging assignments but fair exams.,5,4,5/10/2024,Workload|Exams|Projects
Stanford University,Carol,Wu,CS201,Data Structures,CS,Challenging assignments but fair exams. Professor Wu is very engaging.,3,4,9/1/2021,Projects|Lectures
Stanford University,Carol,Wu,CS201,Data Structures,CS,Difficult course overall. Challenging assignments but fair exams.,4,4,1/20/2023,Grading|Exams|Workload
Stanford University,David,Smith,CS501,Advanced Machine Learning,CS,Amazing projects but heavy workload near midterms.,3,5,9/1/2021,Projects|Lectures
Stanford University,David,Smith,CS501,Advanced Machine Learning,CS,Amazing projects but heavy workload near midterms. Professor Smith is very engaging.,4,5,1/20/2023,Grading|Exams|Workload
